Geo Point;Löv- eller barrträd;Trädart vetenskapligt namn;Trädart svenskt namn;Gatu- eller parkträd;Planteringsdatum
63.812703908293656, 20.29790611708408;Lövträd;Betula Sp.;Björk;Parkträd;
63.83186825990359, 20.159788434590414;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.820438861199364, 20.209426243910155;Lövträd;Betula Sp.;Björk;Parkträd;
63.810172060202994, 20.34749138978497;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.84407133267168, 20.308501012595713;Lövträd;Betula Sp.;Björk;Parkträd;
63.62490536042277, 19.924670015127383;Lövträd;Betula Sp.;Björk;Parkträd;
63.83006729981377, 20.27488850740617;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.8278824683619, 20.261882480863722;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.8233671157377, 20.296195340275286;Lövträd;Salix Caprea;Sälg;Parkträd;
63.82974486174019, 20.278606510156074;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83855797291498, 20.228446629971234;Lövträd;Betula Sp.;Björk;Parkträd;
63.81504973668812, 20.265820026477858;Lövträd;Betula Sp.;Björk;Parkträd;
63.63370127793818, 19.910929976696664;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.83639414715935, 20.227574723926633;Barrträd;Picea Abies;Gran;Parkträd;
63.847024507326154, 20.32536321798115;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8315708008366, 20.24125600834728;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.8398576619189, 20.283587055831653;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.61356576722981, 19.90820169168955;Lövträd;Betula Pendula Fk Finland;Vårtbjörk Fk Finland;Parkträd;2018-10-29
63.8490948560926, 20.304197182213226;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.71195176868387, 20.359380532859564;Lövträd;Salix Alba;Vitpil;Parkträd;
63.80630110583058, 20.32191403543358;Lövträd;Quercus Rubra;Rödek;Parkträd;2022-05-22
63.82681262252919, 20.273439356279994;Lövträd;Betula Sp.;Björk;Gatuträd;
63.839074740900756, 20.163794986797978;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.811748082066806, 20.314295386569505;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81245818144481, 20.305596786548985;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83212573024996, 20.23966650664751;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81956220502637, 20.249206857802296;Lövträd;Betula Sp.;Björk;Parkträd;
63.8118529665133, 20.340438766822686;Lövträd;Betula Sp.;Björk;Parkträd;
63.87981615805315, 20.30743940117175;Lövträd;Betula Sp.;Björk;Parkträd;
63.8473926689792, 20.30997100753807;Lövträd;Betula Sp.;Björk;Parkträd;
63.84604599545184, 20.341981997815818;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2012-07-01
63.853861876069686, 20.328800104824047;Lövträd;Betula Sp.;Björk;Parkträd;
63.83722383112215, 20.177905908203478;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82451766578968, 20.267715465001135;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.83686747770785, 20.26970167301945;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.835433449572044, 20.232635997231608;Lövträd;Betula Sp.;Björk;Parkträd;
63.80963677947679, 20.34114750034419;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85274836370408, 20.305734833206685;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.799462179498235, 20.28212289984704;Lövträd;Prunus Virginiana;Virginiahägg;Parkträd;
63.87912380160071, 20.30710931605065;Lövträd;Betula Sp.;Björk;Parkträd;
63.84858095775514, 20.306892788078688;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.812555116231486, 20.301389112365033;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82732728797473, 20.23850026318077;Lövträd;Betula Sp.;Björk;Parkträd;
63.836479223904895, 20.26456243806237;Lövträd;Betula Sp.;Björk;Parkträd;
63.83202270063419, 20.239296695797613;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.69513538361841, 20.355510476335073;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8366859588642, 20.209876348180664;Lövträd;Betula Sp.;Björk;Parkträd;
63.83698192188643, 20.219666970916293;Lövträd;Betula Sp.;Björk;Parkträd;
63.79415783658586, 20.30409171384193;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.837779954774, 20.31779638119855;Lövträd;Betula Sp.;Björk;Parkträd;
63.84650903563143, 20.305090224488126;Lövträd;Betula Sp.;Björk;Parkträd;
63.63272027228035, 19.90887474747181;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8327141207356, 20.255893239002056;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81627306524304, 20.206091730963614;Barrträd;Picea Abies;Gran;Parkträd;
63.822318396565755, 20.24366264566872;Lövträd;Betula Sp.;Björk;Parkträd;
63.830737409644584, 20.208835480674;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.839243303498634, 20.23046830275022;Lövträd;Betula Sp.;Björk;Parkträd;
63.8196584624065, 20.25233067424944;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.62519458575276, 19.91646095863003;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.7907104588869, 20.313106771820944;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;2009-09-01
63.81884699463316, 20.29384699833018;Lövträd;Acer Platanoides;Skogslönn;Parkträd;2013-07-01
63.83209177146622, 20.231217310425667;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.85666631188527, 20.32381407387233;Lövträd;Betula Sp.;Björk;Parkträd;
63.70057119102918, 20.358837057144857;Lövträd;Betula Sp.;Björk;Parkträd;
63.82738829195482, 20.24784309902342;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82777570592221, 20.26283799606819;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83501498605732, 20.150768832563724;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81233628373614, 20.265096906279627;Lövträd;Betula Sp.;Björk;Parkträd;
63.836659117970505, 20.27232273212535;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83163686350495, 20.24166889812639;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.8326283697287, 20.22836485669817;Lövträd;Sorbus Intermedia;Oxel;Parkträd;2011-07-01
63.702613013846396, 20.359752699792633;Lövträd;Alnus Incana Laciniata;Flikbladig Gråal;Parkträd;
63.83183650941653, 20.253806033778652;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.84616585053266, 20.30435132609351;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.70822928033681, 20.36507685251685;Lövträd;Tilia Cordata;Skogslind;Parkträd;
63.838374228390485, 20.18169514003916;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.824187325981754, 20.275376366410804;Lövträd;Populus Laurifolia;Lagerpoppel;Parkträd;
63.841419432345006, 20.322598001570036;Lövträd;Betula Sp.;Björk;Parkträd;
63.835304986616805, 20.24685433089029;Lövträd;Prunus Maackii Amber Beauty;Näverhägg;Parkträd;
63.84636199328918, 20.34177699784483;Lövträd;Populus Tremula;Asp;Parkträd;2012-07-01
63.808996001284406, 20.295842117308716;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2009-09-01
63.822788218148666, 20.2698806371342;Lövträd;Quercus Robur;Skogsek;Parkträd;
63.8278975803645, 20.282213938538305;Barrträd;Picea Abies;Gran;Parkträd;
63.824681805574215, 20.28103018864142;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2015-08-31
63.804590477667745, 20.3460242920837;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.62514209229819, 19.92294297054827;Lövträd;Betula Sp.;Björk;Parkträd;
63.848887833858385, 20.307750586579584;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.796910863162445, 20.307779985810203;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.80772557509454, 20.18050569634557;Lövträd;Betula Sp.;Björk;Parkträd;
63.820109423242904, 20.251863360586736;Lövträd;Betula Sp.;Björk;Parkträd;
63.629527436765976, 19.917662173039243;Lövträd;Betula Sp.;Björk;Parkträd;
63.839127480696376, 20.20151441456026;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83588464723779, 20.22670661290805;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.85317263248386, 20.297264374593112;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84077860959757, 20.316853125471837;Lövträd;Betula Sp.;Björk;Parkträd;
63.82745912906374, 20.27530709759992;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84330636930772, 20.278184567158334;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.6278749152644, 19.90880907374216;Lövträd;Betula Sp.;Björk;Parkträd;
63.712056400969146, 20.38440057803237;Lövträd;Populus Tremula;Asp;Parkträd;
63.82741935002486, 20.257256842401272;Lövträd;Betula Sp.;Björk;Gatuträd;
63.828327911026186, 20.299604553981172;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.62944699776026, 19.919583997664176;Lövträd;Betula Sp.;Björk;Parkträd;
63.83586811801222, 20.16474705746478;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83329756580207, 20.1883120473488;Lövträd;Salix Alba;Vitpil;Parkträd;
63.839458586280905, 20.322987365995314;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.816723771146386, 20.186779093436048;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83995916558583, 20.221087084485315;Lövträd;Betula Sp.;Björk;Parkträd;
63.824024710191786, 20.274007484452238;Lövträd;Betula Sp.;Björk;Gatuträd;
63.832166255815295, 20.202374178448597;Lövträd;Betula Pendula;Vårtbjörk;;
63.62462225780561, 19.90849240925259;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.81739554553886, 20.250468637920953;Lövträd;Betula Sp.;Björk;Parkträd;
63.813007258938654, 20.253922561342975;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.798416053430515, 20.31813350862643;Lövträd;Betula Sp.;Björk;Parkträd;
63.81142730243226, 20.31412602599421;Lövträd;Betula Sp.;Björk;Gatuträd;
63.841631856076155, 20.279955313976668;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.80816013604196, 20.18420114920871;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81805799434415, 20.310205996794647;Lövträd;Sorbus Intermedia;Oxel;Gatuträd;2010-07-01
63.81858779782393, 20.21581801372196;Lövträd;Betula Sp.;Björk;Parkträd;
63.706018535820014, 20.315534954467754;Lövträd;Betula Sp.;Björk;Parkträd;
63.81390805431505, 20.250416160943075;Lövträd;Betula Sp.;Björk;Parkträd;
63.85778078427327, 20.308928362811923;Lövträd;Betula Sp.;Björk;Parkträd;
63.83744200843962, 20.270790377353887;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83589326520207, 20.229082039107077;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83546085577459, 20.225477115547786;Lövträd;Sorbus Intermedia;Oxel;Parkträd;2011-07-01
63.82610661974882, 20.286995447382846;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.71307914318437, 20.385976230304554;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.812520310573404, 20.30110938613364;Lövträd;Betula Sp.;Björk;Parkträd;
63.839281008688985, 20.274668511642986;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.806547483236486, 20.304930164175566;Lövträd;Betula Sp.;Björk;Parkträd;
63.797045521557145, 20.318868980255125;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.803937294970495, 20.316823007924985;Barrträd;Abies Concolor;Coloradogran;Parkträd;2022-05-22
63.818542061852945, 20.28252602482254;Lövträd;Salix Fragilis Bullata;Bollpil;Parkträd;
63.82288399622182, 20.266302997631872;Lövträd;Prunus Avium;Fågelbär;Parkträd;2015-07-09
63.81080903685701, 20.30945166592875;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.90572643102944, 20.54825665101366;Lövträd;Betula Sp.;Björk;Parkträd;
63.83182028739288, 20.210101960608263;Lövträd;Acer Platanoides;Skogslönn;Parkträd;
63.625985094180926, 19.91894997232892;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84028504720847, 20.480646220374954;Barrträd;Picea Abies;Gran;Parkträd;
63.838096112107856, 20.22639821797112;Lövträd;Betula Sp.;Björk;Parkträd;
63.836267721693446, 20.22754851089881;Lövträd;Betula Sp.;Björk;Parkträd;
63.83600395463666, 20.229513196773354;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2017-06-15
63.83821009592968, 20.214306787694966;Lövträd;Salix Caprea;Sälg;Parkträd;
63.80297301809507, 20.30616051257178;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.69992309105898, 20.376019816797697;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.823716142818505, 20.281506037267857;Lövträd;Betula Sp.;Björk;Gatuträd;
63.82668495224522, 20.269785538711666;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.832536970354965, 20.241618524823963;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81212638092578, 20.264598933781105;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.82329099448901, 20.26995299730873;Lövträd;Populus Laurifolia;Lagerpoppel;Parkträd;2011-07-01
63.83725219302192, 20.154539237559508;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81777790433105, 20.2595565803719;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.80962537532567, 20.196702635304735;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.83957236370903, 20.284631853350216;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.85458110153547, 20.32896999888839;Lövträd;Betula Sp.;Björk;Parkträd;
63.810416392579896, 20.281577592070253;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.8237739951606, 20.262691995853306;Barrträd;Pinus Sibirica;Sibirisk Cembratall;Parkträd;2015-08-05
63.82015765326449, 20.2460494633819;Lövträd;Prunus Padus;Hägg;Parkträd;
63.835192935646916, 20.178644345580334;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81520078848611, 20.251981948997283;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.796856159682505, 20.314496294134887;Lövträd;Betula Sp.;Björk;Parkträd;
63.827878508805306, 20.237988327721094;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.716616995333446, 20.385220996795827;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Parkträd;2010-07-01
63.803856594888906, 20.31687498794071;Barrträd;Abies Concolor;Coloradogran;Parkträd;2022-05-22
63.8021548271868, 20.301316442779164;Lövträd;Prunus Maackii;Näverhägg;Parkträd;2011-07-01
63.83372011360707, 20.278921758935166;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.82892252195352, 20.26111079918288;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.829542007428955, 20.246604632692513;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82829589375587, 20.259793216245498;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.62515708858876, 19.908854976671794;Barrträd;Picea Abies;Gran;Parkträd;
63.82816166226908, 20.27374995322071;Barrträd;Picea Pungens Glauca;Stickgran Glauca-Gruppen;Parkträd;
63.81912181829691, 20.265490985906272;Barrträd;Picea Abies;Gran;Parkträd;
63.7168459933727, 20.385319995216495;Lövträd;Alnus Incana Laciniata;Flikbladig Gråal;Parkträd;2010-07-01
63.83213548414433, 20.240587692055737;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.843977858405815, 20.278664381023965;Barrträd;Picea Abies;Gran;Parkträd;
63.834487996877414, 20.20412099752496;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2012-07-01
63.82012601296992, 20.195095145116788;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.83262683380584, 20.237351665674414;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.814628382624875, 20.26669083145924;Lövträd;Betula Sp.;Björk;Parkträd;
63.817636016671514, 20.261280881902383;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.86150320038724, 20.303975473478786;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81182700330294, 20.314975285191956;Lövträd;Tilia Cordata;Skogslind;Gatuträd;
63.862556719881454, 20.33801977313012;Lövträd;Betula Sp.;Björk;Parkträd;
63.831749683796296, 20.22764075998446;Lövträd;Salix Caprea;Sälg;Parkträd;
63.8349449219138, 20.230663009651703;Lövträd;Sorbus Intermedia;Oxel;Parkträd;2011-07-01
63.8247270137975, 20.28873668314467;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8336247914598, 20.254072239088792;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83848949334332, 20.177936697394305;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.833211049189885, 20.265203444591062;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81806082287475, 20.261746358616445;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.811852619131, 20.323320363766427;Lövträd;Betula Sp.;Björk;Parkträd;
63.81789599580678, 20.312839996163966;Lövträd;Sorbus Intermedia;Oxel;Gatuträd;2010-07-01
63.80667314364696, 20.31498133486363;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82296683888363, 20.226952489184217;Lövträd;Betula Sp.;Björk;Parkträd;
63.83904268711357, 20.276769602890205;Lövträd;Betula Sp.;Björk;Parkträd;
63.842679305823374, 20.15328414799319;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.62705036744199, 19.92474048055614;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.70216527314133, 20.314119490477225;Lövträd;Betula Sp.;Björk;Parkträd;
63.815328814371966, 20.247307415491733;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82539932504115, 20.27375416238588;Lövträd;Betula Sp.;Björk;Gatuträd;
63.839116062588566, 20.277358191217623;Lövträd;Betula Sp.;Björk;Parkträd;
63.84404195781263, 20.233676162027304;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82411463827815, 20.276924971247453;Lövträd;Betula Sp.;Björk;Gatuträd;
63.81759770124437, 20.2859826763607;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.831837229272516, 20.22748517592922;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2011-07-01
63.83742164350739, 20.22226631895606;Lövträd;Betula Sp.;Björk;Parkträd;
63.827133581486976, 20.24936062437392;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2011-07-01
63.832076406300885, 20.254623854916908;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.823075994184464, 20.274821997088157;Lövträd;Populus Laurifolia;Lagerpoppel;Parkträd;2012-07-01
63.835195265217045, 20.24736116219038;Lövträd;Prunus Maackii Amber Beauty;Näverhägg;Parkträd;
63.814335134379085, 20.216957136338095;Lövträd;Betula Sp.;Björk;Parkträd;
63.81373348736245, 20.215612715928906;Lövträd;Betula Sp.;Björk;Parkträd;
63.79668469141595, 20.30703757414639;Barrträd;Pinus Sylvestris;Tall;Parkträd;2009-09-01
63.80653722134235, 20.31210025254195;Lövträd;Betula Sp.;Björk;Parkträd;
63.72053499312655, 20.38784599676091;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Parkträd;2010-07-01
63.834710704571506, 20.285592404564873;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.828824424555464, 20.25141872799317;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82326353784101, 20.291583982335858;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.835647999046905, 20.15065028889026;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82964099434224, 20.26568099675356;Lövträd;Aesculus X Hemiacantha Tor Nitzelius;Halländsk Hästkastanj;Gatuträd;2013-07-01
63.855675195432674, 20.31529044788631;Lövträd;Betula Sp.;Björk;Parkträd;
63.84587617078149, 20.298970331562913;Lövträd;Sorbus Aucuparia;Rönn;Parkträd;
63.83224463174306, 20.1570625351981;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.85226079680846, 20.311723103877917;Lövträd;Betula Sp.;Björk;Parkträd;
63.71189577160904, 20.386049484577793;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80191625216822, 20.31391308285231;Lövträd;Betula Sp.;Björk;Parkträd;
63.83162300742012, 20.242608674392443;Lövträd;Populus Tremula;Asp;Parkträd;
63.83491799441384, 20.20038000067091;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2012-07-01
63.82338299389352, 20.243924997923212;Lövträd;Betula Sp.;Björk;Parkträd;2013-07-01
63.83510675157531, 20.215168149525052;Lövträd;Betula Sp.;Björk;Parkträd;
63.84181699592566, 20.187947996996666;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-08-26
63.84941899388201, 20.31456599861505;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2013-08-26
63.8166419240897, 20.294481813397674;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.850980904286835, 20.308662597994662;Lövträd;Betula Sp.;Björk;Parkträd;
63.80458756873799, 20.34952563249173;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.82758248760862, 20.27026168265674;Lövträd;Betula Sp.;Björk;Gatuträd;
63.62250298753764, 19.91374843142114;Lövträd;Betula Sp.;Björk;Parkträd;
63.837744985667946, 20.27270877134405;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.844992687201064, 20.333719491915897;Lövträd;Populus Tremula;Asp;Parkträd;
63.836919439846746, 20.270904635832085;Lövträd;Crataegus Sp;Hagtorn;Parkträd;
63.633513651913184, 19.910813729427208;Lövträd;Alnus Incana Laciniata;Flikbladig Gråal;Parkträd;
63.833312996441215, 20.214215997476554;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;2012-07-01
63.80647255339357, 20.321769817957556;Barrträd;Pinus Nigra;Svarttall;Parkträd;2022-05-22
63.8363493275148, 20.156642890301097;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.819383830963766, 20.19327916745479;Lövträd;Betula Pendula;Vårtbjörk;Gatuträd;
63.82412341319007, 20.27285209775309;Lövträd;Betula Sp.;Björk;Gatuträd;
63.628609240050025, 19.917772063000054;Lövträd;Salix Alba;Vitpil;Parkträd;
63.83959538089903, 20.22857289484939;Lövträd;Betula Sp.;Björk;Parkträd;
63.81654217947705, 20.250333797569404;Lövträd;Betula Sp.;Björk;Parkträd;
63.84917399349901, 20.314259999364165;Lövträd;Prunus Pensylvanica;Amerikanskt Häggkörsbär;Parkträd;2013-09-26
63.81799799496599, 20.318580996343734;Lövträd;Sorbus Intermedia;Oxel;Gatuträd;2010-07-01
63.83693993980151, 20.20433585071077;Lövträd;Betula Sp.;Björk;Parkträd;
63.82788913373349, 20.27342718259712;Lövträd;Acer Tataricum Ssp. Ginnala;Ginnalalönn;Parkträd;
63.83859386029828, 20.168350321551312;Lövträd;Prunus Maackii;Näverhägg;Parkträd;
63.815694679726725, 20.25395911294404;Lövträd;Betula Sp.;Björk;Parkträd;
63.8352658277175, 20.323956124812852;Lövträd;Betula Sp.;Björk;Parkträd;
63.825962630892306, 20.285129496083233;Lövträd;Salix Alba;Vitpil;Parkträd;
63.83402797826754, 20.226093256708918;Barrträd;Pinus Sylvestris;Tall;Parkträd;2011-07-01
63.83280871286795, 20.23744660497593;Lövträd;Betula Sp.;Björk;Parkträd;
63.83222813591738, 20.238885880686304;Lövträd;Salix Caprea;Sälg;Parkträd;
63.83792451213909, 20.320582148935845;Lövträd;Betula Sp.;Björk;Parkträd;
63.795676954223936, 20.313988328679084;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.685782281444645, 20.341726516198694;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.81079208259311, 20.255770269361665;Lövträd;Sorbus Intermedia;Oxel;Parkträd;
63.804451932638145, 20.309119013523443;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83750505390421, 20.24939608908243;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;2009-07-01
63.818044994472594, 20.305189998056218;Lövträd;Sorbus Intermedia;Oxel;Gatuträd;2010-07-01
63.83662017885871, 20.186336566050997;Lövträd;Betula Sp.;Björk;Parkträd;
63.8008422462687, 20.350235908466303;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8339889211273, 20.252891779198055;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.80755047421122, 20.30779222501411;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.6999472943097, 20.316211466540132;Lövträd;Salix Caprea;Sälg;Parkträd;
63.829264185887126, 20.28048892784314;Lövträd;Betula Pendula Savolaksie;Vårtbjörk Savolaksie;Parkträd;2012-10-26
63.84553272117356, 20.309463565396488;Lövträd;Betula Sp.;Björk;Parkträd;
63.612064841262544, 19.90761527156898;Lövträd;Betula Sp.;Björk;Parkträd;
63.849267720035314, 20.301592068825865;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84051402953752, 20.24104017702918;Lövträd;Betula Sp.;Björk;Parkträd;
63.806465521466315, 20.19378414293207;Lövträd;Betula Sp.;Björk;Parkträd;
63.83115647128453, 20.278712509607917;Lövträd;Salix Alba;Vitpil;Parkträd;
63.69889827732867, 20.379719222349884;Barrträd;Picea Abies;Gran;Parkträd;
63.81466730848752, 20.264321736020648;Lövträd;Betula Sp.;Björk;Parkträd;
63.837079091467416, 20.220087231953045;Lövträd;Salix Caprea;Sälg;Parkträd;
63.845176598526045, 20.313490789042365;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83226937398109, 20.272868253128916;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.62869067529016, 19.91787193975559;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.83166147896559, 20.237190891003664;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81910599383676, 20.280290996692592;Lövträd;Betula Sp.;Björk;Parkträd;
63.82966349986983, 20.301275183954388;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.824722385401984, 20.282788813405453;Lövträd;Betula Sp.;Björk;Gatuträd;
63.83385138409113, 20.319499203032084;Lövträd;Betula Sp.;Björk;Parkträd;
63.83321101220235, 20.170382817357652;Lövträd;Betula Sp.;Björk;Parkträd;
63.613535762187276, 19.907582607499922;Lövträd;Sorbus Aucuparia;Rönn;Gatuträd;
63.80601770587065, 20.309567759280075;Lövträd;Malus Domestica;Äpple;Parkträd;2015-06-30
63.83840700353382, 20.23428821057118;Lövträd;Betula Sp.;Björk;Parkträd;
63.826602996259396, 20.25252799753655;Lövträd;Betula Pendula Splendor White;Vårtbjörk Splendor White;Gatuträd;2013-07-01
63.84015170328342, 20.226469916815592;Barrträd;Pinus Sylvestris;Tall;Parkträd;
63.81729999484579, 20.292584996254718;Lövträd;Sorbus Intermedia;Oxel;Parkträd;2013-07-01
63.83084087256437, 20.26160572575758;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.8295566377745, 20.308149167293664;Lövträd;Betula Pendula;Vårtbjörk;Parkträd;
63.84511799349387, 20.3409349980102;Lövträd;Populus Tremula;Asp;Parkträd;2012-07-01
63.82038147947188, 20.292603217520323;Lövträd;Salix Fragilis Bullata;Bollpil;Parkträd;2009-09-01
